MLS No,Latitude,Longitude
ML81931204,37.2848728,-121.852604
41004175,37.7290474,-122.1810363
ML81942635,37.231856,-121.7897268
41031132,37.9097882,-121.7278724
ML81922015,37.2934068,-121.7527097
41027325,37.9183444,-121.7278506
41065831,37.8809606,-122.2837966
ML81973361,37.3505134,-121.8190753
ML81937200,37.2676238,-121.8272563
ML81919149,37.3069454,-121.9185394
41052950,37.7820526,-122.1917552
41061575,37.8445815,-122.2252939
41068272,37.8948872,-122.2557427
ML81918800,37.2383299,-121.9393377
ML81948664,37.2700031,-121.8282351
41064820,37.7987178,-122.2029167
41043262,37.7657108,-122.1603269
ME222146499,38.6187216,-121.3175166
41032980,37.7995059,-122.2467603
ME224071875,38.8882691,-121.27702
ML81943444,37.3893978,-121.8361022
ML81950026,37.2128455,-121.8562284
ML81950973,37.3177525,-121.7917006
ML81943959,37.3202106,-121.8320433
41057470,37.74609170000001,-122.1801714
BA323023736,38.4368981,-122.8179081
ML81973621,37.4139949,-121.8678917
BA323908255,37.7759169,-122.1999462
ML81950633,37.2485036,-121.9322294
41051198,37.7813867,-122.1570441
41032718,37.7630507,-122.1917456
41054076,37.779188,-122.1892163
41017981,37.8377869,-122.2775509
41024801,37.7658216,-122.1628073
41064837,37.799927,-122.2122377
ME223103437,37.7498574,-122.1536641
41031013,37.8369484,-122.2126699
ML81952451,37.2648786,-121.8259948
ML81967605,37.2082487,-121.8315517
ML81950814,37.3286802,-121.93474
41043728,37.8215542,-122.2730237
41056818,37.7600784,-122.179904
ML81919825,37.2622378,-121.9441336
ML81974033,37.2474463,-121.9402932
ME223024840,38.8603285,-121.2882487
CRRW23138818,36.778261,-119.4179324
ML81964532,37.2895441,-121.775806
ML81939674,37.2937163,-121.7468281
ML81957547,37.3315448,-121.9459724
41069317,37.8682654,-122.275177
ML81966094,37.2610658,-121.8528713
41053188,37.9163285,-121.7247514
41036165,37.8065609,-122.2191393
ML81931792,37.280231,-121.765761
ME224028962,37.3231858,-121.884216
ML81949845,37.3759541,-121.8180921
ML81943576,37.2227902,-121.8951084
41062111,37.8096244,-122.193412
41018503,37.8060127,-122.210217
41054384,37.7728525,-122.205527
41064983,37.8766048,-122.0824783
ML81917605,37.3260241,-121.7726369
41067946,37.8621085,-122.0722923
41026415,37.8542045,-122.2630083
SF423913672,37.8004102,-122.1909532
41028847,37.7276981,-122.1732048
41053046,37.7919827,-122.2476857
ML81938722,37.3383548,-121.8713205
ML81935644,37.3427325,-121.8743573
ML81898076,37.2440866,-121.8099936
41062949,37.8069363,-122.2308299
41037940,37.7958725,-122.1782303
ME224004456,37.8043514,-122.2711639
41052757,37.8340726,-122.2046546
41052579,37.8419382,-122.2729303
ML81944975,36.6639224,-121.6495375
41053021,37.9142796,-122.0579704
BA324059910,38.50866420000001,-122.7460762
41021229,37.8394115,-122.196009
BA324010061,37.7755813,-122.1325242
ML81956563,37.338838,-121.8740724
ME224047497,38.68538280000001,-121.0419077
ML81959006,37.304415,-121.8318333
ML81962873,37.24589160000001,-121.883077
ML81958855,37.3293075,-121.7829428
ML81942028,37.2985991,-121.8860965
ML81957549,37.2607009,-121.8892489
ML81961205,37.3257303,-121.7803169
ML81941397,37.2960502,-121.8673003
ML81970789,37.2490416,-121.8854657
41056766,37.921948,-122.03831
ML81928172,37.2859637,-121.9859625
ML81913919,37.7407325,-122.1551037
SF423749531,37.8635947,-122.2593424
ML81954390,37.8052181,-122.220206
ML81953875,37.2302737,-121.8026869
ML81937805,37.3295257,-121.9139985
ML81927811,37.2924006,-121.7525866
CREV23157990,36.778261,-119.4179324
ML81945733,37.258979,-121.7970036
41035567,37.2690379,-121.8510921
ML81922168,37.3169393,-121.9861398
41040843,37.8224267,-122.2030818
41038023,37.8042425,-122.2130246
41032620,37.895595,-121.7237414
41052317,37.7706436,-122.1365044
SF424019789,37.85454,-122.2858456
ML81944822,37.41156489999999,-121.8614221
41049701,37.7759142,-122.1841941
ML81967353,37.3070361,-121.8905859
ML81938275,37.4078649,-121.8738692
CRSW23133072,37.8886736,-122.4586932
ML81957634,37.31698720000001,-121.9569987
ME224047977,37.3341263,-121.8251186
ML81920483,37.3067575,-121.9038183
ML81923098,37.3262695,-121.8265864
41047020,37.8888342,-122.0710047
ML81920099,37.2674183,-121.9177888
ML81934132,37.3081947,-121.8971495
BA323026275,38.4800935,-122.6527835
ML81926814,37.3678207,-121.9786351
BA323016489,37.23072760000001,-121.8045487
41055537,37.8059568,-122.2441404
ML81964850,37.2720044,-121.8125095
41015480,37.7622748,-122.1701924
ML81956860,37.2479149,-121.9371121
41049714,37.8043514,-122.2711639
41020425,37.9091354,-122.3110188
ML81973859,37.3792233,-121.8310604
ML81923014,37.33617900000001,-121.7849971
ML81967609,37.3105118,-121.9543156
41039973,37.8107896,-122.2264816
ML81950023,37.3792368,-121.8691387
ML81912315,37.30539810000001,-121.9441942
ME222139911,38.9044499,-121.2775115
ML81958492,37.3072686,-121.9356587
ME223015095,37.834216,-122.2208932
41017399,37.8586038,-122.0709901
41050725,37.826102,-122.28617
41024287,37.8404582,-122.2670152
BA323923870,38.3324491,-122.3277356
ML81907470,37.3447752,-121.9264821
41063198,37.8156855,-122.2495402
ML81915991,37.3262205,-121.8844574
ML81920638,37.3661702,-121.8136443
BA323908781,38.4736918,-122.7420577
ML81946773,37.2353144,-121.8181528
ML81966736,37.2721759,-121.8253877
ML81918210,37.2021554,-121.8560166
41036446,37.7933142,-122.1534277
ML81935305,37.3182252,-121.813473
41046730,37.8770627,-122.0793081
ML81933003,37.2864762,-121.7392578
ML81945625,37.323714,-121.8723756
ML81954867,37.3427788,-121.892896
41045764,37.9316847,-122.0554888
ML81928709,37.2183518,-121.8852336
41029909,37.8133642,-122.2374625
ML81963763,37.245335,-121.8216392
41025810,37.889108,-122.0701816
ML81943027,37.2479356,-121.9327782
ML81972243,37.3242408,-121.8297654
41046579,37.7469927,-122.1411723
ML81958675,37.24197110000001,-121.9404636
SF423921358,37.8104686,-122.2837691
ML81938036,37.7373344,-122.1677779
ML81952207,37.2848751,-121.8560981
41036490,37.7814684,-122.1948349
CRIG23206535,36.778261,-119.4179324
ML81956608,37.2670446,-121.8977582
BA324044677,38.3083005,-122.3130406
ML81913830,37.4015965,-121.9644194
BA324019436,38.4546024,-122.6844889
41032108,37.8978027,-122.2632397
ML81941600,37.2928606,-121.9176048
41067512,37.8345339,-122.1856951
41051201,37.236547,-121.7565907
CRSC24057852,36.778261,-119.4179324
ME224029250,37.79556890000001,-122.1953684
41044700,37.7862004,-122.2266043
41069903,37.8757742,-122.0811129
ML81924606,37.2489646,-121.8131002
ML81924927,37.3380139,-121.9270558
ML81959589,37.229939,-121.765374
ML81933198,37.3628884,-121.9141475
ML81968518,37.375357,-121.7753614
ML81953551,37.2305058,-121.8958387
41030019,37.3645103,-121.8614211
ML81905268,37.3745598,-121.8130439
41049622,37.83448,-122.2742572
41016171,37.7384455,-122.1581251
41016041,37.7590032,-122.1490804
ME224090127,39.1803529,-121.031575
ML81916974,37.3094361,-121.8893569
ML81963122,37.2595468,-121.9333999
41052706,37.3169894,-121.8067415
ML81961417,37.25728429999999,-121.8176466
ML81929801,37.3529858,-121.8872911
ML81966399,37.3638428,-122.0139135
41021299,37.8081733,-122.2016471
41068563,37.8408808,-122.2400593
BA324013632,38.0000546,-122.5467983
41024790,37.8210159,-122.1892115
41061167,37.8814828,-122.0856285
ML81958441,37.2856352,-121.7534872
ML81964143,37.3112845,-121.9161637
41019053,37.8287754,-122.2715982
41030364,37.9381592,-122.3203581
41040828,37.7692341,-122.1701807
ML81971503,37.2153005,-121.8582872
ML81928547,37.280845,-121.7718598
ML81925777,37.2439698,-121.8370441
ML81937455,37.2947086,-122.0165667
BA323014876,38.0354089,-122.5818615
ML81941715,37.30029,-121.9942721
BA324036773,38.3437581,-122.3455749
ML81936246,37.2794318,-121.88866
41037132,37.8607807,-122.0743497
41060247,37.9185597,-121.7260857
41039000,37.3613326,-121.8455546
40982439,37.7634499,-122.1785113
ML81944275,37.2757283,-121.8940492
41044155,37.7709002,-122.1893949
ML81922245,37.25686839999999,-121.901385
ML81940473,37.3191774,-121.7644053
ML81943678,37.3709074,-121.8178738
ML81976151,37.2863158,-121.9854446
ME224002296,38.8780164,-121.3119518
ML81958635,37.4144556,-121.8644666
ML81972359,37.2489411,-121.7663231
ML81952905,37.2522812,-121.8547295
41051787,37.8074507,-122.2947065
ML81914657,37.2187445,-121.7677038
ML81967520,37.3778051,-121.8775854
ML81964616,37.3057476,-121.7832794
ML81918414,37.3077088,-121.9532549
41028358,37.9031889,-121.7339917
41016580,37.8123216,-122.2330603
BA324019962,38.3422634,-122.3180254
ML81913875,37.2922551,-121.9216341
41030347,37.8041483,-122.1686592
41046821,37.7927873,-122.2073612
41051256,37.851738,-122.2423415
ML81916081,37.3813483,-121.891512
41047307,37.7418419,-122.1734741
BA323040623,37.9785183,-122.538565
BA323046627,37.9864289,-122.5419087
CROC23160501,36.778261,-119.4179324
BA323909027,38.2956254,-122.2732052
ML81957420,37.2534175,-121.8931508
BA323044095,38.0144465,-122.5568712
ME223069284,37.3308825,-121.8405541
ME223027587,37.8901417,-122.2639266
ML81920079,37.2741045,-121.8930319
ML81968551,37.2667979,-121.8700368
ML81958166,37.3143693,-121.8189359
41049071,37.9008132,-121.7291732
ML81965838,37.3083904,-121.7932331
41049558,37.8589363,-122.0696768
ML81946870,37.2410674,-121.8948251
ML81955138,37.2948469,-121.981549
41053482,37.4068652,-121.8609138
ML81931018,37.3088974,-121.9061182
41056999,37.8726708,-122.0750892
ML81907885,37.3347567,-121.8402086
ML81958382,37.3082988,-121.9921676
ML81935873,37.3304882,-121.9058172
BA324056238,37.7930229,-122.1882846
41042254,37.8727475,-122.2961823
ML81923337,37.2754649,-121.9840758
ML81953683,37.2281506,-121.8006991
ML81928849,37.1237993,-122.0064418
ML81949709,37.2419558,-121.842411
ML81925700,37.2455703,-121.7797086
ML81927841,37.3086204,-121.9993807
SF423907685,37.2255344,-121.8711463
41065940,37.7636892,-122.184128
41060113,37.7793888,-122.179993
ME222137860,38.6488903,-121.1773131
BA324057299,38.4234963,-122.5841542
ML81956360,36.6024068,-121.6479272
ML81960541,37.2559069,-121.901941
41042038,37.83841049999999,-122.2120153
SF424020978,37.8580072,-122.2500731
41026138,37.8933407,-122.2867643
ML81965768,37.2433799,-121.8860781
ML81961801,37.7896645,-122.1843584
ML81963713,37.30542060000001,-121.9416428
BA323900075,38.1149079,-122.527373
BA324027852,38.4613834,-122.7519512
ML81945659,37.3068103,-121.7867878
ML81945937,37.4019678,-121.8560654
41025616,37.802827,-122.2274583
ML81968517,37.34424,-121.900916
CREV23098952,36.778261,-119.4179324
41010968,37.8112163,-122.2324707
ML81938459,37.7481585,-122.1777148
41049471,37.7876314,-122.1831733
ML81944794,37.2600413,-121.9253756
ML81971746,37.264862,-121.9227603
ML81949161,37.4055104,-121.854593
41017304,37.82923030000001,-122.189211
ML81944863,37.3306261,-121.9425352
ML81947880,37.3107158,-121.9585148
41019881,37.8779508,-122.2649838
BA323051455,38.0042923,-122.5272357
ML81917277,37.3315659,-121.8371123
ME224027103,38.8260127,-121.2755436
ML81970165,37.250365,-121.9431468
BA324004122,38.2933546,-122.3359994
41035636,37.8220995,-122.2528707
ML81937734,37.2800766,-121.9047752
ML81952963,37.3876189,-121.8358791
BA323000199,38.3258886,-122.3331501
ML81952815,37.2406181,-121.9488655
SF424041518,37.7798034,-122.1917809
ML81935109,37.2896826,-121.7615511
41031445,37.8570298,-122.0619472
ME224038494,38.6943646,-121.0937788
ML81922658,37.2216352,-121.9047463
ML81951093,37.2454904,-121.8075071
41048732,37.75882319999999,-122.143036
41055668,37.8457401,-122.2441821
ML81918997,37.25444,-121.8948675
ML81965988,37.2697208,-121.8740841
41012981,37.9104275,-121.7330488
ML81970959,37.2487837,-121.8266376
ML81917643,37.2976245,-122.0032331
ML81921137,37.3022546,-121.8226042
41067604,37.847159,-122.2085936
41046332,37.8373586,-122.2146205
ML81952266,37.3006566,-121.8824611
BA323033980,38.2825047,-122.3078374
ML81953430,37.4104647,-121.8508963
ML81948763,37.324744,-121.8394255
BA323913606,38.4280656,-122.6942944
ML81923553,37.2415446,-121.8463685
ML81915678,37.3973838,-121.84202
ML81924109,37.2612687,-121.8679658
BA324018703,38.3475411,-122.2532083
41018527,37.8290074,-122.2069239
ML81958142,36.778261,-119.4179324
ML81953347,37.2525766,-121.8143507
ML81951499,37.25479370000001,-121.8838873
ML81910465,37.3387767,-121.7884615
BA323016628,38.324192,-122.3219766
41026393,37.8001584,-122.2347942
BA323043707,38.0839089,-122.571391
41017974,37.7908616,-122.2254467
SF424019479,37.7787075,-122.1900587
ML81929972,37.3904867,-121.9441336
ML81942398,37.3537926,-121.8367571
BA323005924,38.3083823,-122.3507212
ML81927790,37.3366117,-121.7911273
41051158,37.8431902,-122.2630632
ML81938982,37.2861942,-121.9940617
CRIV24034013,36.778261,-119.4179324
41052563,37.8174775,-122.2024388
ML81977104,37.3054387,-121.834551
BA324022246,38.0151318,-122.5669143
ML81935591,37.4032223,-121.8832392
41045231,37.7458987,-122.1457543
ML81921893,37.7376569,-122.1786868
ML81954312,37.2984377,-121.8941165
41036001,37.9693144,-122.3271205
ML81954741,37.2763405,-121.9180881
ML81959121,37.8403217,-122.2773877
ML81933622,37.2446439,-121.8639385
ML81963850,37.2652754,-121.8941222
ML81943919,37.4087405,-121.8556978
CL24355981,36.778261,-119.4179324
41038453,37.7472849,-122.1700597
BA324063562,38.3240079,-122.3186572
41021727,37.80895599999999,-122.2386989
41029411,37.8385079,-122.216056
41013181,37.8588356,-122.2701962
ML81930646,37.3635112,-122.0138934
ML81961836,37.2324544,-121.7971154
41049061,37.7778822,-122.2075315
ML81966186,37.2502192,-121.9044136
41030239,37.8421441,-122.229065
ML81970793,37.2518187,-121.8905462
41023837,37.4142194,-121.8699643
ML81968523,37.3647251,-121.8156719
ML81953060,37.3167111,-121.8446538
ML81977009,37.3037603,-121.8421542
41061771,37.873843,-122.0757487
ML81974094,37.2485881,-121.8256694
ML81968296,37.2956533,-121.8985824
ML81940494,37.2667809,-121.8925334
ML81928551,37.2496872,-121.8927368
ML81917392,37.2926602,-121.7495184
ML81931666,37.27580690000001,-121.9067079
ML81949459,37.3009574,-121.9916955
41019651,37.7990384,-122.2079987
ME222142554,38.837322,-121.2735672
ML81914882,37.3115212,-121.926933
ML81923349,37.3109016,-121.9161359
41030235,37.9138211,-122.0593198
ME224008416,37.2809704,-121.98766
ME223064290,38.6236287,-121.04607
BA324019790,38.30428029999999,-122.3421103
41021439,37.8651155,-122.0730448
41054976,37.9287715,-122.0535568
41044775,37.7733826,-122.2027205
BA323017845,37.97402150000001,-122.4822292
BA322101299,38.3389791,-122.3164871
41044695,37.7391036,-122.1710305
41068250,37.8394621,-122.2239053
41022538,37.8442145,-122.2549344
41030087,37.8634472,-122.0746618
41063874,37.8760991,-122.2970498
ML81960804,37.30394680000001,-121.9692776
ME223043158,38.65181949999999,-121.3344943
ML81950779,37.2671641,-121.8465176
ML81914329,37.2410858,-121.7622914
BA323913168,38.4563349,-122.6921115
41061830,37.8495123,-122.2542719
41039903,37.7622289,-122.1665741
ML81915507,37.2787599,-121.8539582
ML81944028,37.2682496,-121.9897984
41055718,37.2628169,-121.7966161
41019691,37.7711766,-122.1976407
41028540,37.8419744,-122.2537569
41019117,37.7892616,-122.1898412
41050069,37.8049316,-122.2288784
ML81929044,37.2364144,-121.8233333
ML81944040,37.2916176,-121.8949029
ML81939900,37.2962588,-121.7668235
ML81909868,36.778261,-119.4179324
41048584,37.76058889999999,-122.1719168
41019868,37.8399203,-122.2041968
ML81976676,37.3974912,-121.8760051
41017301,37.8627144,-122.0731908
41045082,37.7854852,-122.1443209
BA324047737,38.11096819999999,-122.5551166
SF423920709,37.7554696,-122.1699227
ML81917156,37.30383339999999,-121.9360895
41012834,37.94799709999999,-122.3419529
CROC23179286,36.778261,-119.4179324
ML81961776,37.2678552,-121.9287129
ML81944177,37.3183585,-121.9230701
ML81925809,37.2479515,-121.8170656
ME224024361,38.6614022,-121.3099934
ML81937623,37.3400403,-121.9211552
41047288,37.741208,-122.1534076
ML81935734,37.3047728,-121.9479759
41046074,37.7665739,-122.1601755
ML81960138,37.3783421,-122.0186458
ML81949116,37.3534579,-121.9697285
41040358,37.8085813,-122.2261803
41019880,37.8377308,-122.2132045
SF423735185,37.8383659,-122.2180006
ML81958339,37.2572858,-121.8255003
41028189,37.85143360000001,-122.2501365
ML81965378,37.3601202,-121.9102796
ML81937372,37.2492972,-121.8063134
ML81952877,37.2329836,-121.7885594
ME223054715,38.8415946,-121.2823716
ML81971664,37.3276528,-121.9129761
ML81937486,37.306318,-121.7868907
41022650,37.7903091,-122.2026161
41067453,37.8220136,-122.2531056
41043961,37.8034405,-122.198909
41055810,37.8327175,-122.265278
ML81914494,37.902523,-121.7249705
ML81959318,37.2600992,-121.9737194
ML81919057,37.24529649999999,-121.8606277
ML81916601,37.9237051,-122.3834471
BA324000455,38.3144671,-122.2869639
41054666,37.8212975,-122.2558576
41056580,37.7316392,-122.1859584
ML81974581,37.3283433,-121.8257683
BA323002640,38.0610325,-122.5245299
41054219,37.9468755,-122.3357948
ML81939977,37.211881,-121.8521487
41042440,37.260717,-121.9021349
41030541,37.8483291,-122.2596019
CRRW22206776,36.778261,-119.4179324
41023970,37.8376659,-122.281162
ML81944354,37.2686838,-121.8450876
41004221,37.843405,-122.2359717
BA323914363,38.4318501,-122.6785567
ML81915575,37.3937884,-122.0076479
ML81945045,37.3109982,-121.7954308
BA322105003,38.4388615,-122.7709322
ML81924216,37.2954466,-121.9773969
41057155,37.8422537,-122.2093623
ML81918817,37.2991525,-121.9798383
ML81971675,37.3601219,-121.8602529
ML81934010,37.3112078,-121.8906402
ML81929538,37.245488,-121.7786425
ML81952143,37.3085579,-121.9355649
ML81976530,37.3379327,-121.9460445
41066090,37.8637683,-122.0723841
ML81958273,37.3159258,-121.8458925
BA323918666,37.7672827,-122.2058871
41010548,37.7782508,-122.2062251
BA324026041,38.1999408,-122.3146453
41048497,37.8402886,-122.2479654
ML81920050,37.2488765,-121.7865416
ML81957243,37.2271515,-121.8898818
41058646,37.80070389999999,-122.1765072
ML81917290,37.3257888,-121.7865751
ML81929798,37.3118382,-121.8884855
ML81943370,37.3500474,-121.8054579
41011622,37.8107883,-122.2365094
CRV1-16237,38.4407021,-122.6667574
ML81960924,37.308174,-121.8320855
ME224078375,38.8298527,-121.2443856
ML81978525,37.2433262,-121.9728331
41025150,37.7883096,-122.1761973
41039106,37.8273667,-122.2053259
41035277,37.8789528,-122.0789618
ML81944365,37.3349591,-121.9240826
41065193,37.8811752,-122.0881776
ML81926692,37.2492735,-121.9021458
41059296,37.811457,-122.2175573
ML81953562,37.2650375,-121.9106966
CRSC24137770,37.3455936,-121.8194385
ML81961178,37.2640712,-121.9216685
ME224083963,37.2485691,-121.8401319
41034595,37.754959,-122.1900192
BA323023789,38.0603918,-122.5221169
41018917,37.7684648,-122.1691629
ML81941911,37.2429719,-121.8313882
41053715,37.82721600000001,-122.2741498
ME223014119,39.2143091,-121.0503346
41025535,37.8745852,-122.081377
ML81954799,37.2957467,-121.906346
41017046,37.7643093,-122.1594617
ML81935533,37.2745356,-121.8119169
ML81923725,37.349942,-121.8855448
ML81920041,37.2449244,-121.826012
ML81931825,37.2739626,-121.8174649
ML81956636,37.3686312,-122.0461668
41055068,37.8114503,-122.210103
41020131,37.7755571,-122.1793832
41057844,37.8137386,-122.2473112
41048514,37.8059161,-122.2172426
ML81949759,37.3204096,-121.8461311
ML81914525,37.2488312,-121.83786
41047663,37.8351201,-122.184804
CRSR22135695,37.39462839999999,-121.8761616
ML81948654,37.2606335,-121.8242084
ML81933949,37.24181799999999,-121.9638182
CRCV23119016,37.3778314,-121.8854241
ML81926727,37.2668055,-121.9038627
41059156,37.8968355,-121.7225072
ML81961789,37.2926578,-121.8933941
ML81935980,37.2441846,-121.9040644
ML81946829,37.3023277,-122.0153936
ML81913042,37.2898942,-121.8352182
41045240,37.8354691,-122.1863697
41035669,37.7965304,-122.2159293
ML81963916,37.3062332,-121.8982811
41058810,37.8391038,-122.2203895
ML81969214,37.3446283,-121.8836775
ML81974907,37.2672783,-121.937245
41060124,37.2227167,-121.8629507
ML81956032,37.3324103,-121.9486664
ML81939091,37.2278405,-121.8942079
41055898,37.9136597,-121.7220835
ML81971203,37.2300997,-121.7907753
41016947,37.9158624,-121.7243575
41029852,37.7923175,-122.2452483
ML81932313,37.2955268,-121.8899912
ML81944677,37.3553395,-121.8910819
41058989,37.8146896,-122.235257
BA324047896,38.4996909,-122.7460895
41025377,37.8367798,-122.2603215
ML81973764,37.3614237,-121.9950746
ML81940852,37.3719034,-121.8821404
41051346,37.8894208,-122.2731706
41038614,37.28005270000001,-121.9863013
ML81916683,37.4001257,-121.9644439
ML81974109,37.333096,-121.9788935
ME224006740,37.7777718,-122.1768867
ML81953392,37.2756126,-121.9095088
ML81938995,37.7759036,-122.1651123
ML81963688,38.687829,-121.0338648
ML81916353,37.3022775,-121.7925149
41059668,37.8080512,-122.2329836
41050928,37.7440062,-122.1607835
ML81964514,37.2538492,-121.8446299
41059588,37.842081,-122.210871
41038205,37.82411810000001,-122.2515721
ML81915510,37.2408582,-121.8169856
ML81971077,37.2935837,-121.8834802
41054256,37.8518248,-122.258732
41020738,37.7419625,-122.1751106
ML81972472,37.2400672,-121.8578451
ML81921474,37.246808,-121.8162594
ML81956010,37.2638816,-121.8280566
41065014,37.3361424,-121.7828954
ML81940455,37.4147433,-121.8730906
ML81942865,37.2966466,-121.9750697
ML81920063,37.3420294,-121.8871121
BA322096850,37.7663478,-122.1717563
ME223109490,38.6724264,-121.0530919
41051022,37.767676,-122.2006101
41035839,37.89393159999999,-122.2794117
ML81956026,37.3830795,-121.8250657
41040866,37.8214269,-122.2711035
ML81973609,37.2732506,-121.8999945
ML81922234,37.3123577,-121.9883743
41035824,37.8138176,-122.2330175
41067864,37.8359179,-122.1863482
ML81920660,37.3294476,-121.7695429
41055816,37.3115275,-121.9160627
41048003,37.8601572,-122.0701114
ML81910980,37.2093071,-121.8753873
CRLC23219768,38.4457352,-122.7492621
ML81933767,37.2641388,-121.8753804
ML81964917,37.262553,-121.9077006
ML81949978,37.2476494,-121.7882444
ML81941752,37.294247,-121.756489
41051721,37.9234807,-122.0555345
ML81964034,37.2400005,-121.9179169
ML81936784,37.3086713,-121.9393783
ML81973183,37.2298175,-121.7607071
41020605,37.7942858,-122.2262344
41023655,37.7332435,-122.1736506
41037365,37.7428464,-122.1622093
41062276,37.849279,-122.2825735
ML81911578,37.28744020000001,-121.7500995
ML81920288,37.3234214,-121.8265064
CRNP23037137,36.778261,-119.4179324
ML81938413,37.23832489999999,-121.9102246
ML81956438,37.2822338,-121.9812403
ML81926286,37.2358297,-121.8214909
ML81923199,37.2687406,-121.8495461
ML81971226,37.3402249,-121.9982048
41043296,37.7829491,-122.1730201
41024592,37.8229524,-122.2005899
ML81972333,37.307231,-121.9812687
41020116,37.8519221,-122.2128325
ML81909136,37.304258,-121.7868302
ML81926415,37.2504153,-121.788343
41061639,37.8788433,-122.2814811
ML81945840,37.263663,-121.8972829
41015218,37.7675412,-122.1857471
41029123,37.8422634,-122.1997688
41039755,37.3631543,-121.8217643
41020555,37.3618528,-121.8016303
ML81920666,37.22947020000001,-121.8672679
ML81925357,37.3154128,-121.8995822
ML81935209,37.2705267,-121.8151135
ML81958787,37.249976,-121.7694003
41025653,37.7969576,-122.2192655
41038987,37.8526872,-122.2557686
CRSC24107119,37.448858,-122.1254237
ML81947725,37.2559268,-121.9087745
41019948,37.3350738,-121.8954952
41036560,37.8171541,-122.2372882
SF423916292,37.8119788,-122.2539342
SF424040881,37.7637102,-122.1691835
BA323930058,38.3053175,-122.244866
41052858,37.7770932,-122.1823876
ML81921076,37.3835666,-121.8447649
ML81967631,37.2926722,-121.8346505
ML81919300,37.2342167,-121.8890102
SF423721573,37.8034423,-122.2027915
41030599,37.842928,-122.2522657
41020002,37.7696337,-122.1834961
ME223062694,37.7696478,-122.1680989
CRNP23061094,36.778261,-119.4179324
41041553,37.7912905,-122.23275
ML81966206,37.2156327,-121.8764746
ML81968569,37.4132177,-121.8595071
ML81920082,37.3469868,-121.8397109
ML81969094,37.2851583,-121.8891766
ML81963374,37.2977031,-121.9006769
ML81940829,37.2791565,-121.9841231
ML81966269,37.3262697,-121.8293624
ML81970304,37.3269984,-121.847197
41050833,37.8243924,-122.1873161
BA324033636,38.3284256,-122.2996121
BA322094119,38.3230137,-122.3231604
ML81917108,37.304982,-122.0081694
ML81941755,37.8775629,-122.2808138
ML81949559,37.2464884,-121.9181286
41036327,37.8341196,-122.2017351
ML81916782,37.2435337,-121.8552681
ME223088555,39.2414255,-121.0502027
ME224002197,38.6201601,-121.0465093
ML81962239,37.3623841,-121.8101922
ME224040409,38.8365679,-121.2370612
ME223060443,37.2737355,-121.9054632
ML81927702,37.3121636,-121.9618901
ML81920087,37.2463699,-121.9107828
41064097,37.8406539,-122.2060201
BA324011488,38.3319631,-122.3117381
BA322089980,38.4659108,-122.6252537
ML81929975,37.3081646,-121.777162
ML81964767,37.3266491,-121.8798373
41033253,37.3366555,-121.7858868
ML81936482,37.284365,-121.9221109
ME223081015,37.2684086,-121.8439593
ML81930574,37.285207,-121.755098
ML81928823,37.30002169999999,-121.8413082
ML81924513,37.2405218,-121.8063733
ME223017380,38.8277668,-121.2632604
ML81916019,37.3238053,-121.8710484
ML81924005,37.3685365,-122.0077118
ML81942435,37.3194849,-121.8557915
ML81966871,37.2923795,-121.8864666
ML81923946,37.2270968,-121.763297
ML81971099,37.3107165,-121.9005759
ML81957763,37.268466,-121.8308587
41028076,37.9079147,-121.7301765
ML81962401,37.2712441,-121.8818459
ML81958376,37.2677375,-121.8889167
ML81965265,37.22109409999999,-121.7680379
ML81932508,37.3347018,-121.9428691
41054210,37.7991302,-122.2432385
41054667,37.7871118,-122.2123324
41037465,37.79491830000001,-122.2058427
ML81963175,37.249937,-121.9137566
ML81973901,37.3875315,-121.8414264
ML81975716,37.3681241,-121.8729924
41046969,37.8225335,-122.2811813
41024142,37.9141179,-121.7211051
41059216,37.7528216,-122.1729386
ML81946795,37.3168114,-121.9380853
ML81963223,37.358166,-121.822576
41042717,37.9452502,-122.3195691
41022023,37.7984949,-122.1797741
41032523,37.7627452,-122.1779513
41020718,37.82764840000001,-122.1948317
41067926,37.7744213,-122.191522
ML81924375,37.2531395,-121.9401596
ML81939724,37.2531008,-121.9046891
ML81951895,37.1368284,-121.9694144
ML81935547,37.3072031,-121.9868702
ML81962018,37.2302576,-121.9871787
ML81967425,37.2890143,-121.8842166
41016428,37.3830541,-121.885283
41062291,37.80780499999999,-122.2240461
ML81945106,37.3753805,-121.8795967
ML81962941,37.2299517,-121.9075768
BA323911817,38.3228409,-122.3230373
41058634,37.8734437,-122.08168
ML81916221,37.3227407,-121.8364451
41051542,37.7948176,-122.2131971
ML81933279,37.2322328,-121.769545
41066127,37.9128328,-122.3165143
41017416,37.79832529999999,-122.2113142
41057566,37.8404582,-122.2670152
ML81925750,36.6584443,-121.6529525
ME223065274,38.8323522,-121.2389446
ML81957190,37.2766552,-121.9173495
ML81971383,37.2448754,-121.9733415
BA323023628,38.2781358,-122.2837265
41026145,37.8453703,-122.2452322
41030657,37.7873901,-122.1823168
SF424013156,37.7965818,-122.2035208
41035338,37.8376934,-122.1946181
ML81917889,37.2382031,-121.8430896
ML81959368,37.311423,-121.7992627
41015164,37.9317482,-122.0547735
CROC23134994,37.3304796,-121.7919608
ML81948146,37.2662776,-121.8697516
41055387,37.7838846,-122.1652892
