MLS No,Latitude,Longitude
ME224077936,38.5922477,-121.5175509
ME223048648,38.589847,-121.5184105
ME223098388,38.591322,-121.5235388
ME223083629,38.5924147,-121.5251334
ME224062161,38.591322,-121.5235388
ME223084693,38.5919153,-121.5248553
ME223050025,38.5917539,-121.5257493
41013898,37.8544872,-122.0622544
41050368,37.866926,-122.0674025
41030793,37.8643986,-122.0655565
41047574,37.8738277,-122.0800384
41039655,37.8678836,-122.0671763
ME223115144,38.4907395,-121.4579989
CRIV22253989,36.778261,-119.4179324
CRSB24001439,36.778261,-119.4179324
ME224067583,37.6738034,-120.9970191
ME223085739,37.67922799999999,-121.0459325
ME224019572,37.6736093,-120.9965864
ME222149123,37.5998812,-121.0129858
ME224044825,37.6215283,-121.0137673
ME224067567,37.5998812,-121.0129858
SF423718457,37.7893759,-122.3909719
ML81917744,37.3153581,-121.9854899
ML81970269,37.3153579,-121.9862862
ML81926919,37.2714361,-121.8258049
ML81946405,37.3134217,-121.978488
ML81961612,37.3153318,-121.9871143
ME223072845,38.6118868,-121.4601055
ME223048552,38.4925711,-121.4887079
ME224049820,38.0241677,-121.3047218
ME224022165,37.9171134,-121.2403895
ME224050557,37.9171134,-121.2403895
ME223022585,38.0245723,-121.3008321
ME224013070,38.0248179,-121.304611
41021043,37.9923846,-122.0277685
41038351,37.9903136,-122.0282724
41028574,37.9908258,-122.027393
41056266,37.9908258,-122.027393
41003985,37.9923846,-122.0277685
SF423926929,37.7318227,-122.4798433
CRSN23132311,39.5226901,-121.4697575
CROR23166465,39.5299155,-121.4685133
CROR23011934,39.50266329999999,-121.5919017
ME223064822,38.0053922,-121.3104159
41061798,37.9903136,-122.0282724
CRPA23025986,39.5225545,-121.4696658
CROR24131512,39.5298596,-121.4749537
ME223063747,38.0083744,-121.3064033
ME224038102,38.0040077,-121.3114565
ME223080106,37.9338565,-121.2797728
ME224000719,38.0073489,-121.3072169
ML81968121,37.2762722,-121.9048135
ML81937865,37.2771385,-121.9091985
ML81965162,37.2728095,-121.9053622
ML81938978,37.2781226,-121.9082802
41064435,37.3490234,-121.838261
ME224068917,37.9983156,-121.2785293
CRIV24014699,36.778261,-119.4179324
ME223107630,37.9442257,-121.2836005
ME223044950,37.9442257,-121.2836005
ME223094374,38.0273694,-121.3257179
ME223081614,38.000225,-121.2713443
ML81922366,37.7601923,-122.5002863
ML81960353,37.4428634,-122.1997817
ML81961516,37.4350889,-122.2145646
ML81958839,37.4397929,-122.2095995
ML81939000,37.75828680000001,-122.4824207
ML81950281,37.4391563,-122.2170675
ML81925136,37.4399995,-122.2237096
41066073,37.7762551,-122.1889613
41059274,37.7585808,-122.1822308
ML81975420,37.7272626,-122.1746715
ML81958017,37.7269085,-122.1742301
41051420,37.7599413,-122.1780185
41025400,37.7943594,-122.2137434
ME223112844,38.532472,-121.4160974
41042305,37.793891,-122.2438036
41040064,37.8071653,-122.2932118
41053836,37.7352289,-122.1927317
SF424017800,37.842866,-122.2820358
CREV24073680,36.778261,-119.4179324
BA323913409,37.8049022,-122.2141147
41065026,37.7331405,-122.1949361
41046139,37.734272,-122.1927959
ML81932462,37.9584094,-121.3159882
ME223013590,37.9584094,-121.3159882
41029871,37.7647993,-122.1742503
BA322087845,37.7647993,-122.1742503
41023410,37.7983331,-122.2012706
41059680,37.7625822,-122.1791543
41016457,37.8377629,-122.2577325
41061187,37.7980039,-122.2009015
ML81963883,37.7737668,-122.1862849
41064070,37.7375409,-122.1380614
41064648,37.7509984,-122.1763567
41015360,37.766274,-122.2084917
41042189,37.7569676,-122.1875145
41013706,37.7697073,-122.1987321
ML81936197,37.3138153,-121.9563383
41062681,37.7895917,-122.1880346
41069984,37.7861562,-122.1984277
41053890,37.7643523,-122.1826469
41038914,37.73808349999999,-122.1862121
ME223115427,37.76760489999999,-122.1719487
41038933,37.7381208,-122.1861822
41038932,37.7381732,-122.1861013
BA324041933,38.0763857,-122.2305951
41037600,38.0775002,-122.2313635
BA322081454,38.0765189,-122.2292724
BA323919944,38.0775446,-122.2299243
BA324041945,38.0762861,-122.2304426
SF423743351,37.735025,-122.4572693
BA324013179,38.0775446,-122.2299243
41055919,37.730066,-122.1858539
41059726,37.7303185,-122.183447
41009663,37.7311041,-122.1840689
BA323922358,37.7360849,-122.1873539
41042139,37.7307792,-122.1858273
41049550,37.7862357,-122.2167721
SF423757014,37.7753953,-122.1834629
SF423716015,37.7810591,-122.2157632
ML81967534,37.2745502,-121.9912403
